Date,meta selic,selic,cdi
2010-01-04,8.75,0.032927,0.03278
2010-01-05,8.75,0.032927,0.03278
2010-01-06,8.75,0.032927,0.03278
2010-01-07,8.75,0.032927,0.032817
2010-01-08,8.75,0.032927,0.032817
2010-01-11,8.75,0.032927,0.032817
2010-01-12,8.75,0.032927,0.032817
2010-01-13,8.75,0.032927,0.032817
2010-01-14,8.75,0.032927,0.032817
2010-01-15,8.75,0.032927,0.03278
2010-01-18,8.75,0.032927,0.03278
2010-01-19,8.75,0.032927,0.03278
2010-01-20,8.75,0.032927,0.032817
2010-01-21,8.75,0.032927,0.032817
2010-01-22,8.75,0.032927,0.032817
2010-01-25,8.75,0.032927,0.032817
2010-01-26,8.75,0.03289,0.032817
2010-01-27,8.75,0.032927,0.032817
2010-01-28,8.75,0.032927,0.032817
2010-01-29,8.75,0.032927,0.032854
2010-02-01,8.75,0.032927,0.032854
2010-02-02,8.75,0.032927,0.032817
2010-02-03,8.75,0.032927,0.03278
2010-02-04,8.75,0.032927,0.032817
2010-02-05,8.75,0.032927,0.032817
2010-02-08,8.75,0.032927,0.032817
2010-02-09,8.75,0.032927,0.032817
2010-02-10,8.75,0.032927,0.032817
2010-02-11,8.75,0.032927,0.032817
2010-02-12,8.75,0.032927,0.032817
2010-02-17,8.75,0.032927,0.032817
2010-02-18,8.75,0.032927,0.032854
2010-02-19,8.75,0.032927,0.032854
2010-02-22,8.75,0.032927,0.032854
2010-02-23,8.75,0.032927,0.032854
2010-02-24,8.75,0.032927,0.032817
2010-02-25,8.75,0.032927,0.032817
2010-02-26,8.75,0.032927,0.032817
2010-03-01,8.75,0.032927,0.03278
2010-03-02,8.75,0.032927,0.032817
2010-03-03,8.75,0.032927,0.032817
2010-03-04,8.75,0.032927,0.03278
2010-03-05,8.75,0.032927,0.03278
2010-03-08,8.75,0.032927,0.032854
2010-03-09,8.75,0.032927,0.032854
2010-03-10,8.75,0.032927,0.032854
2010-03-11,8.75,0.032927,0.032817
2010-03-12,8.75,0.032927,0.03278
2010-03-15,8.75,0.032927,0.032817
2010-03-16,8.75,0.032927,0.03278
2010-03-17,8.75,0.032927,0.032817
2010-03-18,8.75,0.032927,0.03278
2010-03-19,8.75,0.032927,0.032817
2010-03-22,8.75,0.032927,0.032817
2010-03-23,8.75,0.032927,0.032817
2010-03-24,8.75,0.032927,0.032817
2010-03-25,8.75,0.032927,0.03278
2010-03-26,8.75,0.032927,0.032744
2010-03-29,8.75,0.032927,0.032598
2010-03-30,8.75,0.032927,0.032707
2010-03-31,8.75,0.032927,0.03278
2010-04-01,8.75,0.032927,0.032671
2010-04-05,8.75,0.032927,0.03278
2010-04-06,8.75,0.032927,0.032817
2010-04-07,8.75,0.032927,0.032854
2010-04-08,8.75,0.032927,0.032817
2010-04-09,8.75,0.032927,0.032817
2010-04-12,8.75,0.032927,0.032854
2010-04-13,8.75,0.032927,0.032817
2010-04-14,8.75,0.032927,0.03278
2010-04-15,8.75,0.032927,0.032817
2010-04-16,8.75,0.032927,0.032854
2010-04-19,8.75,0.032927,0.032854
2010-04-20,8.75,0.032927,0.032854
2010-04-22,8.75,0.032927,0.032817
2010-04-23,8.75,0.03289,0.032817
2010-04-26,8.75,0.03289,0.032817
2010-04-27,8.75,0.03289,0.032854
2010-04-28,8.75,0.03289,0.032817
2010-04-29,9.5,0.035621,0.035585
2010-04-30,9.5,0.035657,0.035585
2010-05-03,9.5,0.035657,0.035694
2010-05-04,9.5,0.035657,0.035694
2010-05-05,9.5,0.035657,0.035694
2010-05-06,9.5,0.035657,0.035621
2010-05-07,9.5,0.035657,0.035621
2010-05-10,9.5,0.035657,0.035585
2010-05-11,9.5,0.035657,0.035549
2010-05-12,9.5,0.035657,0.035585
2010-05-13,9.5,0.035657,0.035585
2010-05-14,9.5,0.035657,0.035585
2010-05-17,9.5,0.035657,0.035585
2010-05-18,9.5,0.035657,0.035549
2010-05-19,9.5,0.035657,0.035549
2010-05-20,9.5,0.035657,0.035549
