date,Ibovespa,Bolsa de Valores,Ações,Dividendos,Renda Fixa,Inflação,CDI,Dolar,Bitcoin,Renda Variável
2010-01-01,0,0,39,0,0,0,0,22,0,0
2010-01-02,0,0,48,0,0,0,0,50,0,0
2010-01-03,0,0,34,0,0,0,0,50,0,0
2010-01-04,0,25,62,0,0,0,0,88,0,0
2010-01-05,15,28,64,0,0,0,9,82,0,0
2010-01-06,12,36,48,0,0,7,9,65,0,0
2010-01-07,13,30,66,0,15,0,6,70,0,0
2010-01-08,0,32,58,0,0,0,10,68,0,0
2010-01-09,0,0,32,21,0,0,0,47,0,0
2010-01-10,0,0,29,0,0,0,0,35,0,0
2010-01-11,22,22,66,0,0,0,10,71,0,0
2010-01-12,11,29,49,0,0,0,10,68,0,0
2010-01-13,0,21,75,0,0,0,9,62,0,0
2010-01-14,0,15,81,0,0,6,0,61,0,0
2010-01-15,12,19,77,0,0,7,7,77,0,0
2010-01-16,0,0,0,0,0,0,0,46,0,0
2010-01-17,0,0,28,0,0,0,0,37,0,0
2010-01-18,0,31,56,0,0,5,7,75,0,0
2010-01-19,0,23,84,0,0,6,7,78,0,0
2010-01-20,0,25,50,0,0,0,12,58,0,0
2010-01-21,19,39,76,0,0,6,7,67,0,0
2010-01-22,13,28,59,0,0,6,8,59,0,0
2010-01-23,0,0,49,0,0,0,0,27,0,0
2010-01-24,0,0,24,0,0,0,0,34,0,0
2010-01-25,0,16,67,0,0,0,10,71,0,0
2010-01-26,14,28,45,0,0,7,0,85,0,0
2010-01-27,0,18,57,0,0,6,0,83,0,0
2010-01-28,12,18,64,0,0,0,0,82,0,0
2010-01-29,17,25,47,0,0,0,9,78,0,0
2010-01-30,0,0,33,0,0,0,0,47,0,0
2010-01-31,0,0,55,0,0,0,0,45,0,0
2010-02-01,16,23,56,0,0,7,8,82,0,0
2010-02-02,14,26,74,0,0,0,8,87,0,0
2010-02-03,0,23,62,0,0,0,8,88,0,0
2010-02-04,17,19,55,0,0,10,7,81,0,0
2010-02-05,19,26,56,0,0,0,6,83,0,0
2010-02-06,0,21,35,0,0,0,0,34,0,0
2010-02-07,0,21,42,0,0,0,0,51,0,0
2010-02-08,0,22,51,0,12,0,6,80,0,0
2010-02-09,0,32,70,0,0,6,8,81,0,0
2010-02-10,0,31,70,0,0,6,9,80,0,0
2010-02-11,0,29,64,0,0,0,6,77,0,0
2010-02-12,0,32,54,0,0,0,0,65,0,0
2010-02-13,0,0,0,0,0,0,0,36,0,0
2010-02-14,0,0,25,0,0,0,0,37,0,0
2010-02-15,0,0,35,0,0,0,0,38,0,0
2010-02-16,0,0,37,0,0,0,0,45,0,0
2010-02-17,0,30,53,0,0,0,6,77,0,0
2010-02-18,18,33,76,0,0,0,9,78,0,0
2010-02-19,0,38,64,0,0,0,8,74,0,0
2010-02-20,0,37,44,0,0,0,0,45,0,0
2010-02-21,0,26,46,0,0,0,0,35,0,0
2010-02-22,12,27,64,0,0,0,8,64,0,0
2010-02-23,0,26,74,0,0,6,7,69,0,0
2010-02-24,18,28,66,0,0,10,9,71,0,0
2010-02-25,16,35,80,0,0,6,6,71,0,0
2010-02-26,15,24,63,0,0,0,14,65,0,0
2010-02-27,0,17,37,0,0,0,0,45,0,0
2010-02-28,0,0,38,0,0,0,0,35,0,0
2010-03-01,0,24,74,11,0,5,6,70,0,0
2010-03-02,0,24,80,0,19,0,11,78,0,0
2010-03-03,18,27,86,0,0,7,6,64,0,0
2010-03-04,0,26,98,0,0,10,7,66,0,0
2010-03-05,0,25,97,0,0,6,9,65,0,0
2010-03-06,0,20,50,0,0,0,0,39,0,0
2010-03-07,0,25,46,0,0,0,0,46,0,0
2010-03-08,0,28,81,0,0,0,0,72,0,0
2010-03-09,0,26,96,0,0,0,8,75,0,0
2010-03-10,0,29,93,0,0,0,8,58,0,0
2010-03-11,13,27,89,0,0,6,8,70,0,0
2010-03-12,0,27,61,0,0,8,7,70,0,0
2010-03-13,0,0,51,0,0,0,0,41,0,0
2010-03-14,0,24,62,0,0,0,0,45,0,0
2010-03-15,0,37,86,0,0,0,9,71,0,0
2010-03-16,0,29,96,0,0,8,0,69,0,0
2010-03-17,0,28,82,0,0,12,7,62,0,0
2010-03-18,0,24,82,11,0,0,6,60,0,0
2010-03-19,18,20,89,0,0,9,0,57,0,0
2010-03-20,0,0,53,0,0,0,0,43,0,0
2010-03-21,0,24,47,0,0,0,0,35,0,0
2010-03-22,0,23,89,0,0,8,8,65,0,0
2010-03-23,0,29,75,0,0,9,9,63,0,0
2010-03-24,14,22,94,0,0,6,7,65,0,0
2010-03-25,0,20,67,0,0,9,8,59,0,0
2010-03-26,0,23,68,11,0,0,7,68,0,0
2010-03-27,0,0,41,0,0,0,0,31,0,0
2010-03-28,0,32,62,0,0,0,0,36,0,0
2010-03-29,0,37,76,0,0,7,6,55,0,0
2010-03-30,11,34,78,0,0,8,9,66,0,0
2010-03-31,19,34,69,12,0,8,0,64,0,0
2010-04-01,18,21,58,0,0,8,11,61,0,0
2010-04-02,0,20,39,0,0,0,0,25,0,0
2010-04-03,0,0,32,0,0,0,0,54,0,0
2010-04-04,0,0,40,0,0,0,0,40,0,0
2010-04-05,15,24,92,0,0,7,9,80,0,0
2010-04-06,0,32,83,0,0,5,7,65,0,0
2010-04-07,11,29,92,0,0,9,8,72,0,0
2010-04-08,0,21,84,0,0,10,9,58,0,0
2010-04-09,0,15,70,11,0,9,6,76,0,0
2010-04-10,0,0,56,0,0,0,0,42,0,0
2010-04-11,0,0,53,0,0,0,0,36,0,0
2010-04-12,0,27,84,0,0,11,9,62,0,0
2010-04-13,0,25,95,0,0,0,8,59,0,0
2010-04-14,11,16,67,0,0,6,9,67,0,0
2010-04-15,18,38,74,0,0,8,0,65,0,0
2010-04-16,0,32,79,0,0,7,0,56,0,0
2010-04-17,0,0,46,0,0,0,0,40,0,0
2010-04-18,0,0,59,0,0,0,0,38,0,0
2010-04-19,0,25,75,0,0,0,0,62,0,0
2010-04-20,0,30,70,0,0,7,7,58,0,0
2010-04-21,0,33,73,0,0,0,0,49,0,0
2010-04-22,11,22,88,0,0,9,6,66,0,0
2010-04-23,0,21,62,0,0,7,9,53,0,0
2010-04-24,0,0,50,0,0,0,0,36,0,0
2010-04-25,0,18,58,0,0,0,0,36,0,0
2010-04-26,0,31,92,0,0,5,0,65,0,0
2010-04-27,0,29,100,0,0,13,9,62,0,0
2010-04-28,0,30,85,0,0,11,10,55,0,0
2010-04-29,13,32,94,11,0,8,8,65,0,0
2010-04-30,0,23,71,0,0,6,0,72,0,0
2010-05-01,0,19,53,0,0,0,0,40,0,0
2010-05-02,0,0,39,0,0,0,0,44,0,0
2010-05-03,0,21,81,0,0,6,6,73,0,0
2010-05-04,0,30,74,0,0,9,9,69,0,0
2010-05-05,14,35,81,0,0,0,7,72,0,0
2010-05-06,13,29,72,0,0,6,11,87,0,0
2010-05-07,15,21,71,0,0,7,7,92,0,0
2010-05-08,0,22,31,0,0,0,0,41,0,0
2010-05-09,0,0,33,0,26,0,0,41,0,0
2010-05-10,12,35,89,0,0,12,0,100,0,0
2010-05-11,20,31,77,0,0,8,9,87,0,0
2010-05-12,0,31,62,0,0,10,6,84,0,0
2010-05-13,0,28,91,0,0,8,8,67,0,0
2010-05-14,0,28,62,0,0,10,9,69,0,0
2010-05-15,0,24,38,0,0,0,0,39,0,0
2010-05-16,0,0,32,0,0,9,0,46,0,0
2010-05-17,12,28,86,0,0,11,5,74,0,0
2010-05-18,0,31,87,0,0,12,7,82,0,0
2010-05-19,16,42,80,0,0,13,11,73,0,0
2010-05-20,20,35,84,0,0,10,7,79,0,0
2010-05-21,0,31,84,0,0,8,9,79,0,0
2010-05-22,0,0,49,0,0,9,0,45,0,0
2010-05-23,0,19,40,0,0,0,0,38,0,0
2010-05-24,0,23,68,0,0,11,0,77,0,0
2010-05-25,19,28,66,0,0,12,0,84,0,0
2010-05-26,12,44,77,0,0,8,7,90,0,0
2010-05-27,11,29,72,0,0,7,7,76,0,0
2010-05-28,14,25,83,0,0,0,7,80,0,0
2010-05-29,0,21,60,0,0,0,0,47,0,0
2010-05-30,0,26,48,0,0,0,0,37,0,0
2010-05-31,0,21,77,0,0,10,9,79,0,0
2010-06-01,0,30,71,0,11,6,8,74,0,0
2010-06-01,7,16,40,0,0,7,8,80,0,0
2010-06-02,0,20,44,0,0,7,8,81,0,0
2010-06-03,0,16,28,0,0,0,0,52,0,0
2010-06-04,0,16,35,0,0,10,7,84,0,0
2010-06-05,0,13,24,0,0,0,0,58,0,0
2010-06-06,0,0,41,0,0,0,0,54,0,0
2010-06-07,7,15,40,0,0,11,8,91,0,0
2010-06-08,0,11,54,0,0,11,8,85,0,0
2010-06-09,0,14,45,0,0,10,8,77,0,0
2010-06-10,0,19,49,0,0,11,9,73,0,0
2010-06-11,0,20,37,0,0,9,0,73,0,0
2010-06-12,0,0,25,0,0,0,0,56,0,0
2010-06-13,0,0,35,0,0,0,0,41,0,0
2010-06-14,0,9,43,0,0,9,8,72,0,0
2010-06-15,0,10,33,0,0,9,8,44,0,0
2010-06-16,8,8,48,0,8,9,10,73,0,0
2010-06-17,0,11,39,0,0,0,6,73,0,0
2010-06-18,0,9,33,0,0,0,8,61,0,0
2010-06-19,0,12,30,0,0,0,0,45,0,0
2010-06-20,0,0,33,0,0,0,0,49,0,0
2010-06-21,0,17,53,0,0,10,8,70,0,0
2010-06-22,0,12,60,0,0,8,0,75,0,0
2010-06-23,0,11,41,0,0,0,7,76,0,0
2010-06-24,10,13,42,0,0,9,10,70,0,0
2010-06-25,0,9,42,0,0,0,7,58,0,0
2010-06-26,0,0,26,0,0,0,0,49,0,0
2010-06-27,0,0,35,0,0,0,0,41,0,0
2010-06-28,8,18,56,0,0,0,8,73,0,0
2010-06-29,0,14,57,0,0,8,8,78,0,0
2010-06-30,7,16,42,0,0,0,9,79,0,0
2010-07-01,0,9,48,0,0,10,8,75,6,0
2010-07-02,0,0,30,0,0,0,8,60,0,0
2010-07-03,0,0,21,0,0,0,0,38,0,0
2010-07-04,0,0,26,0,0,0,0,62,0,0
2010-07-05,0,14,41,0,0,8,12,75,0,0
2010-07-06,0,7,27,0,0,7,10,67,0,0
2010-07-07,0,12,45,0,0,0,11,73,0,0
2010-07-08,0,8,36,0,0,0,8,58,0,0
2010-07-09,0,0,26,0,0,0,8,57,0,0
2010-07-10,0,12,14,0,0,0,0,43,0,0
2010-07-11,0,0,16,0,0,0,0,47,0,0
2010-07-12,0,13,39,0,0,0,6,70,0,0
2010-07-13,0,9,25,0,0,0,0,59,0,0
2010-07-14,0,12,35,0,0,0,8,64,0,0
2010-07-15,0,0,37,0,0,0,0,74,0,0
2010-07-16,0,10,32,0,0,7,0,61,0,0
2010-07-17,0,12,21,0,0,0,0,48,0,0
2010-07-18,0,13,16,0,0,0,0,41,0,0
2010-07-19,0,12,33,0,9,0,9,73,0,0
2010-07-20,0,13,35,0,0,0,7,67,0,0
2010-07-21,0,11,34,0,0,8,6,65,0,0
2010-07-22,0,8,40,0,0,0,6,62,0,0
2010-07-23,0,13,30,0,0,0,0,65,0,0
2010-07-24,0,0,23,0,0,0,0,46,0,0
2010-07-25,0,0,18,0,0,0,0,47,0,0
2010-07-26,8,13,37,0,0,0,8,69,0,0
2010-07-27,0,10,35,0,0,0,8,69,0,0
2010-07-28,0,19,44,0,0,0,9,70,0,0
2010-07-29,0,12,39,0,0,0,10,70,0,0
2010-07-30,0,18,37,0,0,0,0,67,0,0
2010-07-31,0,0,22,0,0,0,0,45,0,0
2010-08-01,0,0,21,0,0,0,0,42,0,0
2010-08-02,9,11,35,0,0,6,14,72,0,0
2010-08-03,0,14,41,0,0,0,6,76,0,0
2010-08-04,0,14,41,0,0,0,9,79,0,0
2010-08-05,0,15,35,0,0,8,6,69,0,0
2010-08-06,0,11,25,0,0,0,9,55,0,0
2010-08-07,0,0,17,0,0,0,0,42,0,0
2010-08-08,0,0,28,0,0,0,0,41,0,0
2010-08-09,0,14,31,0,0,6,8,66,0,0
2010-08-10,0,12,35,0,0,9,0,64,0,0
2010-08-11,0,9,32,0,0,9,7,63,0,0
2010-08-12,0,25,40,0,0,7,10,70,0,0
2010-08-13,9,12,32,0,0,0,7,58,0,0
2010-08-14,0,14,27,0,0,9,0,41,0,0
2010-08-15,0,0,25,0,0,0,0,31,0,0
2010-08-16,0,14,49,0,0,0,6,61,0,0
2010-08-17,0,15,45,0,0,7,9,65,0,0
2010-08-18,0,16,46,0,0,8,6,59,0,0
2010-08-19,0,19,43,0,0,7,6,60,0,0
2010-08-20,7,11,39,0,0,0,15,52,0,0
2010-08-21,0,0,21,0,0,0,0,44,0,0
2010-08-22,0,0,21,0,0,0,0,39,0,0
2010-08-23,0,16,38,0,0,0,0,63,0,0
2010-08-24,0,12,48,0,0,10,7,65,0,0
2010-08-25,0,17,49,0,0,6,9,58,0,0
2010-08-26,0,15,41,0,0,7,6,60,0,0
2010-08-27,8,19,32,0,0,0,9,62,0,0
2010-08-28,0,0,23,0,0,0,0,33,0,0
2010-08-29,0,0,27,0,0,0,0,43,0,0
2010-08-30,0,10,48,0,0,6,7,68,0,0
2010-08-31,0,12,45,0,0,16,8,77,0,0
2010-09-01,0,11,46,0,0,0,12,69,0,0
2010-09-02,0,14,44,0,0,0,9,65,0,0
2010-09-03,7,10,40,0,0,7,0,62,0,0
2010-09-04,0,0,19,0,0,0,0,38,0,0
2010-09-05,0,12,18,0,0,0,0,38,0,0
2010-09-06,0,0,34,0,0,0,0,55,0,0
2010-09-07,0,0,42,0,0,0,10,38,0,0
2010-09-08,6,14,51,0,0,8,6,64,0,0
2010-09-09,7,8,67,0,0,0,8,69,0,0
2010-09-10,0,15,65,0,0,8,7,63,0,0
2010-09-11,0,0,33,0,13,0,0,49,0,0
2010-09-12,0,0,38,0,0,0,0,43,0,0
2010-09-13,0,13,100,0,0,7,10,62,0,0
2010-09-14,0,19,84,0,0,7,0,73,0,0
2010-09-15,0,16,76,0,0,9,0,71,0,0
2010-09-16,0,17,76,0,0,7,0,63,0,0
2010-09-17,0,18,62,0,0,0,13,52,0,0
2010-09-18,0,0,49,0,0,0,0,39,0,0
2010-09-19,0,0,49,0,0,0,0,50,0,0
2010-09-20,0,17,71,0,0,9,9,56,0,0
2010-09-21,8,13,73,0,0,7,8,72,0,0
2010-09-22,7,15,77,0,0,0,7,62,0,0
2010-09-23,7,15,45,0,0,10,9,69,0,0
2010-09-24,9,15,73,0,0,7,10,62,0,0
2010-09-25,0,0,43,0,0,0,0,29,0,0
2010-09-26,0,0,29,0,0,0,0,32,0,0
2010-09-27,0,7,54,0,0,9,8,63,0,0
2010-09-28,8,15,59,0,0,7,9,63,0,0
2010-09-29,0,14,40,0,0,8,8,63,0,0
2010-09-30,0,16,45,0,0,9,8,80,0,0
2010-10-01,8,10,36,7,0,7,0,76,0,0
2010-10-02,0,13,23,0,0,0,0,51,0,0
2010-10-03,0,0,26,0,0,8,0,36,0,0
2010-10-04,6,11,43,0,0,10,7,61,0,0
2010-10-05,9,15,46,0,0,7,6,77,0,0
2010-10-06,9,0,49,0,0,6,9,98,0,0
2010-10-07,6,15,47,0,0,7,10,88,0,0
2010-10-08,0,11,40,0,0,0,10,76,0,0
2010-10-09,0,0,13,0,0,0,0,45,0,0
2010-10-10,0,0,22,0,0,0,0,38,0,0
2010-10-11,0,14,26,0,0,0,0,73,0,0
2010-10-12,0,0,26,0,0,0,0,61,0,0
2010-10-13,8,12,32,0,0,9,10,100,0,0
2010-10-14,7,16,43,0,0,0,7,79,0,0
2010-10-15,8,12,39,0,0,9,0,80,0,0
2010-10-16,0,12,16,0,0,9,0,65,0,0
2010-10-17,0,11,26,0,0,0,0,43,0,0
2010-10-18,0,13,40,0,0,13,10,75,0,0
2010-10-19,7,16,38,0,0,9,6,85,0,0
2010-10-20,0,17,51,0,0,10,0,94,0,0
2010-10-21,0,14,39,0,0,13,9,87,0,0
2010-10-22,0,13,47,0,0,0,6,65,0,0
2010-10-23,0,9,25,0,0,0,0,54,0,0
2010-10-24,0,11,19,0,0,0,0,39,0,0
2010-10-25,0,17,46,0,0,10,10,80,0,0
2010-10-26,0,8,42,0,0,7,10,80,0,0
2010-10-27,12,16,42,0,0,7,9,78,0,0
2010-10-28,7,16,44,0,0,7,7,71,0,0
2010-10-29,8,9,40,0,0,6,6,69,0,0
2010-10-30,0,10,18,0,0,0,0,50,0,0
2010-10-31,0,0,24,0,0,0,0,43,0,0
2010-11-01,0,8,32,0,0,6,0,61,0,0
2010-11-02,0,16,31,0,0,11,0,62,0,0
2010-11-03,0,10,47,0,0,16,11,95,0,0
2010-11-04,6,13,41,0,0,13,8,89,0,0
2010-11-05,14,12,44,7,0,13,9,78,0,0
2010-11-06,0,0,20,0,0,0,0,49,0,0
2010-11-07,0,12,26,0,0,0,12,44,0,0
2010-11-08,8,9,47,0,0,13,7,72,0,0
2010-11-09,9,16,35,0,0,15,0,85,0,0
2010-11-10,0,17,48,0,0,12,9,77,0,0
2010-11-11,0,14,41,0,0,8,7,84,0,0
2010-11-12,8,9,38,0,0,6,9,76,0,0
2010-11-13,0,0,24,0,0,0,0,49,0,0
2010-11-14,0,0,27,0,0,0,0,43,0,0
2010-11-15,0,13,29,0,0,0,0,58,0,0
2010-11-16,0,14,43,0,0,8,10,86,0,0
2010-11-17,0,13,48,7,0,14,5,78,0,0
2010-11-18,0,9,66,0,0,8,9,72,0,0
2010-11-19,0,16,75,8,0,12,10,68,0,0
2010-11-20,0,0,25,0,0,0,0,39,0,0
2010-11-21,0,15,37,0,0,0,0,43,0,0
2010-11-22,0,21,54,0,0,10,8,74,0,0
2010-11-23,8,16,54,0,0,13,10,64,0,0
2010-11-24,6,16,52,6,0,11,9,74,0,0
2010-11-25,6,13,58,0,0,8,8,63,0,0
2010-11-26,0,10,40,0,0,8,7,64,0,0
2010-11-27,0,0,21,0,0,0,0,48,0,0
2010-11-28,0,0,41,0,0,0,0,51,0,0
2010-11-29,0,9,54,0,0,9,9,68,0,0
2010-11-30,0,0,48,0,0,7,7,83,0,0
2010-12-01,6,16,44,0,0,10,7,82,0,0
2010-12-02,7,9,37,0,0,13,6,74,0,0
2010-12-03,0,7,37,0,0,11,0,68,0,0
2010-12-04,0,0,25,0,0,0,0,32,0,0
2010-12-05,0,0,23,0,0,0,0,45,0,0
2010-12-06,0,13,38,0,0,11,7,70,0,0
2010-12-07,0,0,32,0,0,0,11,71,0,0
2010-12-08,0,12,30,0,0,10,9,84,0,0
2010-12-09,0,14,34,0,0,6,11,64,0,0
2010-12-10,0,11,26,0,0,8,8,69,0,0
2010-12-11,0,0,23,0,0,0,0,48,0,0
2010-12-12,0,0,24,0,0,0,0,47,0,0
2010-12-13,9,14,35,7,0,8,10,72,0,0
2010-12-14,0,9,31,0,0,6,9,69,0,0
2010-12-15,0,10,35,0,0,7,6,66,0,0
2010-12-16,7,11,31,0,0,8,0,69,7,0
2010-12-17,0,8,25,0,0,0,7,61,0,0
2010-12-18,0,0,17,0,0,0,0,39,0,0
2010-12-19,0,12,26,0,0,0,12,56,0,0
2010-12-20,0,12,18,0,0,0,0,77,0,0
2010-12-21,0,0,26,0,0,7,6,60,0,0
2010-12-22,0,9,24,0,0,0,0,67,0,0
2010-12-23,0,0,19,0,0,0,0,60,0,0
2010-12-24,0,0,0,0,0,0,0,36,0,0
2010-12-25,0,0,0,0,0,0,0,48,0,0
2010-12-26,0,0,16,0,0,0,0,59,0,0
2010-12-27,0,19,30,0,0,9,6,68,0,0
2010-12-28,0,11,32,0,0,0,0,70,0,0
2010-12-29,0,14,30,0,0,0,0,73,0,0
2010-12-30,0,14,32,0,0,0,9,57,0,0
2010-12-31,0,0,26,0,0,0,0,42,0,0
2011-01-01,0,13,16,0,0,0,0,38,0,0
2011-01-01,0,26,34,0,0,0,0,46,0,0
2011-01-02,0,14,32,0,0,0,0,54,0,0
2011-01-03,0,26,59,0,0,11,7,89,0,0
2011-01-04,11,26,72,12,0,9,10,96,0,0
2011-01-05,9,25,60,0,0,9,9,99,0,0
2011-01-06,8,23,52,0,0,7,7,96,0,0
2011-01-07,10,38,63,0,0,10,7,93,0,0
2011-01-08,0,25,29,0,0,0,6,67,0,0
2011-01-09,0,12,39,0,0,6,0,54,0,0
2011-01-10,12,25,58,9,0,7,8,95,0,0
2011-01-11,9,25,48,7,0,7,7,90,0,0
2011-01-12,0,23,63,10,0,7,9,72,0,0
2011-01-13,7,27,55,7,0,6,7,75,0,0
2011-01-14,15,16,56,0,0,5,8,78,0,0
2011-01-15,0,19,15,0,0,5,0,50,0,0
2011-01-16,0,0,33,0,0,0,0,54,0,0
2011-01-17,8,21,63,0,0,4,8,78,0,0
2011-01-18,10,26,65,9,8,6,8,76,0,0
2011-01-19,0,24,63,0,0,6,8,77,0,0
2011-01-20,0,18,57,0,0,5,7,70,0,0
2011-01-21,0,19,52,0,0,5,9,64,0,0
2011-01-22,0,14,28,0,0,4,0,49,0,0
2011-01-23,0,36,38,0,0,0,0,49,0,0
2011-01-24,7,56,63,0,0,4,11,70,0,0
2011-01-25,6,35,52,0,0,4,9,74,0,0
2011-01-26,0,23,57,0,0,7,9,78,0,0
2011-01-27,9,30,67,6,0,5,6,67,0,0
2011-01-28,9,22,54,0,0,7,7,70,0,0
2011-01-29,0,10,33,0,0,0,6,47,0,0
2011-01-30,0,19,35,0,0,0,5,52,0,0
2011-01-31,9,25,64,0,0,5,10,81,0,0
2011-02-01,7,21,68,7,0,7,9,76,0,0
