date,Ibovespa,Bolsa de Valores,Ações,Dividendos,Renda Fixa,Inflação,CDI,Dolar,Bitcoin,Renda Variável
2009-12-27,8,18,35,4,0,5,8,73,0,0
2010-01-03,9,23,47,4,3,5,7,88,0,0
2010-01-10,11,19,54,2,3,7,9,79,0,0
2010-01-17,10,22,52,4,0,6,9,78,0,0
2010-01-24,9,18,43,5,3,5,7,95,0,0
2010-01-31,11,23,49,2,2,6,9,100,0,0
2010-02-07,8,24,48,4,0,6,8,89,0,0
2010-02-14,6,21,45,3,0,3,8,78,0,0
2010-02-21,10,22,54,3,2,7,10,80,0,0
2010-02-28,6,20,65,5,2,8,9,78,0,0
2010-03-07,7,22,66,5,3,7,9,81,0,0
2010-03-14,8,23,68,3,3,8,8,76,0,0
2010-03-21,8,21,62,2,3,8,11,73,0,0
2010-03-28,8,24,55,6,2,8,9,67,0,0
2010-04-04,7,20,67,6,2,9,10,82,0,0
2010-04-11,10,23,66,4,3,9,9,74,0,0
2010-04-18,5,21,61,5,3,8,8,70,0,0
2010-04-25,7,24,69,7,4,10,8,72,0,1
2010-05-02,9,23,59,5,2,10,9,90,0,0
2010-05-09,9,25,58,4,3,11,9,97,0,0
2010-05-16,10,24,65,3,3,13,8,90,0,0
2010-05-23,9,24,60,4,3,10,8,95,0,0
2010-05-30,7,20,52,4,3,9,9,82,0,0
2010-06-06,6,20,60,4,3,12,9,90,0,1
2010-06-13,7,15,56,2,0,7,8,71,0,0
2010-06-20,6,17,66,4,0,9,8,78,0,0
2010-06-27,7,18,63,4,0,7,9,80,0,0
2010-07-04,4,13,49,3,3,6,9,75,0,0
2010-07-11,6,14,46,3,2,5,7,74,0,0
2010-07-18,7,17,44,3,0,5,8,74,0,0
2010-07-25,6,20,51,4,2,2,8,76,0,0
2010-08-01,7,17,48,4,2,6,10,76,0,0
2010-08-08,7,21,48,4,2,7,9,70,0,0
2010-08-15,6,20,58,5,3,7,8,64,0,0
2010-08-22,7,20,55,4,2,6,10,67,0,0
2010-08-29,7,17,57,4,3,7,8,73,0,0
2010-09-05,7,17,68,3,0,6,7,65,0,0
2010-09-12,6,20,100,4,3,8,8,70,0,0
2010-09-19,9,19,91,6,2,9,8,70,0,0
2010-09-26,8,20,59,5,2,9,8,74,0,0
2010-10-03,8,18,57,4,3,9,10,84,0,0
2010-10-10,8,17,47,3,2,7,8,86,0,0
2010-10-17,6,19,57,4,3,12,8,89,0,0
2010-10-24,9,19,54,3,2,9,8,84,0,0
2010-10-31,7,15,52,3,2,12,9,85,0,0
2010-11-07,8,17,56,4,2,12,8,87,0,0
2010-11-14,4,18,66,5,2,11,9,80,0,0
2010-11-21,7,20,66,4,3,11,8,76,0,0
2010-11-28,7,13,58,4,4,11,8,80,0,0
2010-12-05,7,16,44,4,0,9,9,79,0,0
2010-12-12,7,13,43,4,2,7,8,75,0,0
2010-12-19,4,11,31,3,2,5,4,70,0,0
2010-12-26,5,16,36,4,3,6,5,68,0,0
2010-12-26,9,29,63,7,6,3,3,41,0,0
2011-01-02,9,33,63,5,5,5,5,50,0,0
2011-01-09,10,28,62,6,4,4,4,45,0,0
2011-01-16,8,24,63,5,4,3,4,41,0,0
2011-01-23,6,38,64,6,3,3,4,40,0,0
2011-01-30,9,30,67,4,5,3,5,39,0,0
2011-02-06,8,32,68,5,6,4,5,37,0,0
2011-02-13,8,29,72,7,5,5,5,38,0,0
2011-02-20,9,32,78,7,5,4,4,38,0,0
2011-02-27,7,28,73,7,5,5,5,38,0,0
2011-03-06,5,31,60,7,4,3,4,37,0,0
2011-03-13,9,29,77,6,5,4,5,40,0,0
2011-03-20,8,33,89,9,4,4,5,39,0,0
2011-03-27,9,30,84,9,4,5,4,41,0,0
2011-04-03,8,29,90,8,4,5,5,44,0,0
2011-04-10,8,29,91,8,4,6,4,49,0,0
2011-04-17,6,25,77,6,4,5,4,39,0,0
2011-04-24,9,29,100,11,4,8,4,47,0,0
2011-05-01,8,27,79,10,4,7,4,48,0,0
2011-05-08,7,27,77,7,4,8,5,46,0,0
2011-05-15,9,32,82,6,5,7,5,42,0,0
2011-05-22,8,26,83,8,4,7,4,42,0,0
2011-05-29,9,25,84,6,4,7,5,45,0,0
2011-06-05,8,26,80,6,6,7,4,46,0,0
2011-06-12,8,28,78,6,5,6,4,41,1,0
2011-06-19,6,24,63,4,4,5,4,38,1,0
2011-06-26,7,23,66,6,4,4,4,50,0,0
2011-07-03,8,22,64,6,3,4,4,50,0,0
2011-07-10,8,23,54,5,3,3,5,44,0,0
2011-07-17,7,20,56,5,5,3,5,41,1,0
2011-07-24,7,21,60,5,4,3,4,56,0,0
2011-07-31,10,29,64,6,4,4,5,50,0,0
2011-08-07,19,47,67,9,3,4,4,55,0,0
2011-08-14,10,30,69,7,5,4,4,46,0,0
2011-08-21,8,25,65,6,4,4,4,42,0,0
2011-08-28,8,24,68,6,3,4,5,38,0,0
2011-09-04,7,21,60,5,4,5,4,44,0,0
2011-09-11,6,23,68,6,4,5,5,53,0,0
2011-09-18,8,26,74,5,5,5,4,100,0,0
2011-09-25,6,22,72,6,4,5,4,90,0,0
2011-10-02,8,23,68,6,4,4,4,75,0,0
2011-10-09,7,20,63,6,3,4,4,67,0,0
2011-10-16,7,23,69,5,4,5,4,65,0,0
2011-10-23,10,25,67,6,4,5,4,65,0,0
2011-10-30,7,22,67,6,4,5,5,60,0,0
2011-11-06,6,21,70,6,3,5,4,61,0,0
2011-11-13,6,22,68,7,5,4,4,58,0,0
2011-11-20,7,21,75,6,4,5,4,62,0,0
2011-11-27,6,22,73,7,3,5,4,66,0,0
2011-12-04,5,17,62,6,4,5,4,66,0,0
2011-12-11,6,16,46,6,3,3,4,60,0,0
2011-12-18,4,14,38,5,4,3,4,57,0,0
2011-12-25,5,16,36,4,4,2,3,56,0,0
2012-01-01,7,23,44,6,6,4,5,62,0,0
2012-01-01,8,27,53,7,7,7,8,99,0,0
2012-01-08,6,22,56,6,5,5,7,96,0,0
2012-01-15,8,24,55,7,5,5,7,93,0,0
2012-01-22,8,26,53,7,5,4,7,90,0,0
2012-01-29,8,25,61,8,4,5,7,88,0,0
2012-02-05,9,27,64,7,4,5,8,86,0,0
2012-02-12,8,24,64,8,4,5,7,76,0,0
2012-02-19,6,26,52,8,4,4,6,71,0,0
2012-02-26,8,25,71,9,5,6,7,76,0,0
2012-03-04,8,26,77,9,5,6,7,74,0,0
2012-03-11,8,31,78,10,6,7,7,78,0,0
2012-03-18,7,28,83,10,7,6,7,75,0,0
2012-03-25,7,25,83,11,5,7,7,71,0,0
2012-04-01,6,22,70,10,5,6,6,66,0,0
2012-04-08,8,27,86,12,5,7,7,74,0,0
2012-04-15,6,24,85,10,7,7,8,66,0,0
2012-04-22,7,27,87,10,8,6,7,71,0,0
2012-04-29,8,28,76,13,7,6,6,74,0,0
2012-05-06,8,25,81,9,5,8,8,81,4,0
2012-05-13,10,35,100,11,5,7,7,96,1,0
2012-05-20,10,34,91,10,5,8,7,100,0,0
2012-05-27,10,26,88,9,4,8,7,94,0,0
2012-06-03,7,25,74,8,5,7,7,79,0,0
2012-06-10,7,25,85,7,5,8,7,78,0,0
2012-06-17,8,24,81,8,5,7,6,74,0,0
2012-06-24,7,23,76,8,4,4,6,79,0,0
2012-07-01,7,20,66,7,3,4,7,88,0,0
2012-07-08,7,19,56,5,4,4,7,72,0,0
2012-07-15,7,21,58,6,4,4,7,71,0,0
2012-07-22,6,22,56,7,4,4,6,67,1,0
2012-07-29,7,21,61,7,4,4,7,67,0,0
2012-08-05,7,20,63,7,5,5,7,68,0,0
2012-08-12,7,19,66,7,4,6,7,67,0,0
2012-08-19,6,22,75,7,5,6,7,62,0,0
2012-08-26,6,22,74,6,4,6,7,65,0,0
2012-09-02,6,18,62,6,4,6,6,63,0,0
2012-09-09,8,20,84,6,4,6,7,68,0,0
2012-09-16,8,23,82,5,3,6,6,68,0,0
2012-09-23,8,22,78,6,4,6,7,55,0,0
2012-09-30,5,18,66,6,3,6,6,61,0,0
2012-10-07,5,18,61,4,4,5,5,54,0,0
2012-10-14,6,20,83,6,4,5,7,57,0,0
2012-10-21,5,22,74,6,4,6,7,55,0,0
2012-10-28,7,20,68,7,3,7,6,50,0,0
