date,^BVSP,SELIC %d,CDI %d,^BVSP(-1),gt Ibovespa(-1),gt Bolsa de Valores(-1),gt Ações(-1),gt Dividendos(-1),gt Renda Fixa(-1),gt Inflação(-1),gt CDI(-1),gt Dolar(-1),gt Bitcoin(-1),gt Renda Variável(-1)
2010-01-05,70240.0,0.032927 ,0.032780,70045.0,0.0,25.0,62.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0
2010-01-06,70729.0,0.032927 ,0.032780,70240.0,15.0,28.0,64.0,0.0,0.0,0.0,9.0,82.0,0.0,0.0
2010-01-07,70451.0,0.032927 ,0.032780,70729.0,12.0,36.0,48.0,0.0,0.0,7.0,9.0,65.0,0.0,0.0
2010-01-08,70263.0,0.032927 ,0.032817,70451.0,13.0,30.0,66.0,0.0,15.0,0.0,6.0,70.0,0.0,0.0
2010-01-11,70433.0,0.032927 ,0.032817,70263.0,0.0,32.0,58.0,0.0,0.0,0.0,10.0,68.0,0.0,0.0
2010-01-12,70076.0,0.032927 ,0.032817,70433.0,22.0,22.0,66.0,0.0,0.0,0.0,10.0,71.0,0.0,0.0
2010-01-13,70385.0,0.032927 ,0.032817,70076.0,11.0,29.0,49.0,0.0,0.0,0.0,10.0,68.0,0.0,0.0
2010-01-14,69801.0,0.032927 ,0.032817,70385.0,0.0,21.0,75.0,0.0,0.0,0.0,9.0,62.0,0.0,0.0
2010-01-15,68978.0,0.032927 ,0.032817,69801.0,0.0,15.0,81.0,0.0,0.0,6.0,0.0,61.0,0.0,0.0
2010-01-18,69401.0,0.032927 ,0.032780,68978.0,12.0,19.0,77.0,0.0,0.0,7.0,7.0,77.0,0.0,0.0
2010-01-19,69909.0,0.032927 ,0.032780,69401.0,0.0,31.0,56.0,0.0,0.0,5.0,7.0,75.0,0.0,0.0
2010-01-20,68200.0,0.032927 ,0.032780,69909.0,0.0,23.0,84.0,0.0,0.0,6.0,7.0,78.0,0.0,0.0
2010-01-21,66270.0,0.032927 ,0.032817,68200.0,0.0,25.0,50.0,0.0,0.0,0.0,12.0,58.0,0.0,0.0
2010-01-22,66220.0,0.032927 ,0.032817,66270.0,19.0,39.0,76.0,0.0,0.0,6.0,7.0,67.0,0.0,0.0
2010-01-26,65524.0,0.032927 ,0.032817,66220.0,13.0,28.0,59.0,0.0,0.0,6.0,8.0,59.0,0.0,0.0
2010-01-27,65070.0,0.032890 ,0.032817,65524.0,14.0,28.0,45.0,0.0,0.0,7.0,0.0,85.0,0.0,0.0
2010-01-28,65588.0,0.032927 ,0.032817,65070.0,0.0,18.0,57.0,0.0,0.0,6.0,0.0,83.0,0.0,0.0
2010-01-29,65402.0,0.032927 ,0.032817,65588.0,12.0,18.0,64.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0
2010-02-01,66572.0,0.032927 ,0.032854,65402.0,17.0,25.0,47.0,0.0,0.0,0.0,9.0,78.0,0.0,0.0
2010-02-02,67163.0,0.032927 ,0.032854,66572.0,16.0,23.0,56.0,0.0,0.0,7.0,8.0,82.0,0.0,0.0
2010-02-03,67109.0,0.032927 ,0.032817,67163.0,14.0,26.0,74.0,0.0,0.0,0.0,8.0,87.0,0.0,0.0
2010-02-04,63934.0,0.032927 ,0.032780,67109.0,0.0,23.0,62.0,0.0,0.0,0.0,8.0,88.0,0.0,0.0
2010-02-05,62763.0,0.032927 ,0.032817,63934.0,17.0,19.0,55.0,0.0,0.0,10.0,7.0,81.0,0.0,0.0
2010-02-08,63153.0,0.032927 ,0.032817,62763.0,19.0,26.0,56.0,0.0,0.0,0.0,6.0,83.0,0.0,0.0
2010-02-09,64718.0,0.032927 ,0.032817,63153.0,0.0,22.0,51.0,0.0,12.0,0.0,6.0,80.0,0.0,0.0
2010-02-10,65051.0,0.032927 ,0.032817,64718.0,0.0,32.0,70.0,0.0,0.0,6.0,8.0,81.0,0.0,0.0
2010-02-11,66129.0,0.032927 ,0.032817,65051.0,0.0,31.0,70.0,0.0,0.0,6.0,9.0,80.0,0.0,0.0
2010-02-12,65855.0,0.032927 ,0.032817,66129.0,0.0,29.0,64.0,0.0,0.0,0.0,6.0,77.0,0.0,0.0
2010-02-17,67285.0,0.032927 ,0.032817,65855.0,0.0,32.0,54.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0
2010-02-18,67836.0,0.032927 ,0.032817,67285.0,0.0,30.0,53.0,0.0,0.0,0.0,6.0,77.0,0.0,0.0
2010-02-19,67597.0,0.032927 ,0.032854,67836.0,18.0,33.0,76.0,0.0,0.0,0.0,9.0,78.0,0.0,0.0
2010-02-22,67184.0,0.032927 ,0.032854,67597.0,0.0,38.0,64.0,0.0,0.0,0.0,8.0,74.0,0.0,0.0
2010-02-23,66108.0,0.032927 ,0.032854,67184.0,12.0,27.0,64.0,0.0,0.0,0.0,8.0,64.0,0.0,0.0
2010-02-24,65795.0,0.032927 ,0.032854,66108.0,0.0,26.0,74.0,0.0,0.0,6.0,7.0,69.0,0.0,0.0
2010-02-25,66121.0,0.032927 ,0.032817,65795.0,18.0,28.0,66.0,0.0,0.0,10.0,9.0,71.0,0.0,0.0
2010-02-26,66503.0,0.032927 ,0.032817,66121.0,16.0,35.0,80.0,0.0,0.0,6.0,6.0,71.0,0.0,0.0
2010-03-01,67228.0,0.032927 ,0.032817,66503.0,15.0,24.0,63.0,0.0,0.0,0.0,14.0,65.0,0.0,0.0
2010-03-02,67779.0,0.032927 ,0.032780,67228.0,0.0,24.0,74.0,11.0,0.0,5.0,6.0,70.0,0.0,0.0
2010-03-03,67641.0,0.032927 ,0.032817,67779.0,0.0,24.0,80.0,0.0,19.0,0.0,11.0,78.0,0.0,0.0
2010-03-04,67815.0,0.032927 ,0.032817,67641.0,18.0,27.0,86.0,0.0,0.0,7.0,6.0,64.0,0.0,0.0
2010-03-05,68847.0,0.032927 ,0.032780,67815.0,0.0,26.0,98.0,0.0,0.0,10.0,7.0,66.0,0.0,0.0
2010-03-08,68575.0,0.032927 ,0.032780,68847.0,0.0,25.0,97.0,0.0,0.0,6.0,9.0,65.0,0.0,0.0
2010-03-09,69576.0,0.032927 ,0.032854,68575.0,0.0,28.0,81.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0
2010-03-10,69979.0,0.032927 ,0.032854,69576.0,0.0,26.0,96.0,0.0,0.0,0.0,8.0,75.0,0.0,0.0
2010-03-11,69885.0,0.032927 ,0.032854,69979.0,0.0,29.0,93.0,0.0,0.0,0.0,8.0,58.0,0.0,0.0
2010-03-12,69341.0,0.032927 ,0.032817,69885.0,13.0,27.0,89.0,0.0,0.0,6.0,8.0,70.0,0.0,0.0
2010-03-15,69024.0,0.032927 ,0.032780,69341.0,0.0,27.0,61.0,0.0,0.0,8.0,7.0,70.0,0.0,0.0
2010-03-16,69942.0,0.032927 ,0.032817,69024.0,0.0,37.0,86.0,0.0,0.0,0.0,9.0,71.0,0.0,0.0
2010-03-17,69723.0,0.032927 ,0.032780,69942.0,0.0,29.0,96.0,0.0,0.0,8.0,0.0,69.0,0.0,0.0
2010-03-18,69697.0,0.032927 ,0.032817,69723.0,0.0,28.0,82.0,0.0,0.0,12.0,7.0,62.0,0.0,0.0
2010-03-19,68829.0,0.032927 ,0.032780,69697.0,0.0,24.0,82.0,11.0,0.0,0.0,6.0,60.0,0.0,0.0
2010-03-22,69042.0,0.032927 ,0.032817,68829.0,18.0,20.0,89.0,0.0,0.0,9.0,0.0,57.0,0.0,0.0
2010-03-23,69387.0,0.032927 ,0.032817,69042.0,0.0,23.0,89.0,0.0,0.0,8.0,8.0,65.0,0.0,0.0
2010-03-24,68913.0,0.032927 ,0.032817,69387.0,0.0,29.0,75.0,0.0,0.0,9.0,9.0,63.0,0.0,0.0
2010-03-25,68442.0,0.032927 ,0.032817,68913.0,14.0,22.0,94.0,0.0,0.0,6.0,7.0,65.0,0.0,0.0
