date,^BVSP,SELIC %d,CDI %d,^BVSP(-1),gt Ibovespa(-1),gt Bolsa de Valores(-1),gt Ações(-1),gt Dividendos(-1),gt Renda Fixa(-1),gt Inflação(-1),gt CDI(-1),gt Dolar(-1),gt Bitcoin(-1),gt Renda Variável(-1)
2010-01-06,0.6961845102505748,0.032927 ,0.032780,0.27839246198873013,15.0,3.0,2.0,0.0,0.0,0.0,9.0,-6.0,0.0,0.0
2010-01-07,-0.39304952706810115,0.032927 ,0.032780,0.6961845102505748,-3.0,8.0,-16.0,0.0,0.0,7.0,0.0,-17.0,0.0,0.0
2010-01-08,-0.2668521383656697,0.032927 ,0.032817,-0.39304952706810115,1.0,-6.0,18.0,0.0,15.0,-7.0,-3.0,5.0,0.0,0.0
2010-01-11,0.2419481092466924,0.032927 ,0.032817,-0.2668521383656697,-13.0,2.0,-8.0,0.0,-15.0,0.0,4.0,-2.0,0.0,0.0
2010-01-12,-0.5068646799085696,0.032927 ,0.032817,0.2419481092466924,22.0,22.0,37.0,0.0,0.0,0.0,10.0,36.0,0.0,0.0
2010-01-13,0.4409498259033029,0.032927 ,0.032817,-0.5068646799085696,-11.0,7.0,-17.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0
2010-01-14,-0.8297222419549666,0.032927 ,0.032817,0.4409498259033029,-11.0,-8.0,26.0,0.0,0.0,0.0,-1.0,-6.0,0.0,0.0
2010-01-15,-1.1790662024899312,0.032927 ,0.032817,-0.8297222419549666,0.0,-6.0,6.0,0.0,0.0,6.0,-9.0,-1.0,0.0,0.0
2010-01-18,0.613239003740329,0.032927 ,0.032780,-1.1790662024899312,12.0,4.0,-4.0,0.0,0.0,1.0,7.0,16.0,0.0,0.0
2010-01-19,0.731977925390126,0.032927 ,0.032780,0.613239003740329,0.0,31.0,28.0,0.0,0.0,5.0,7.0,38.0,0.0,0.0
2010-01-20,-2.444606559956519,0.032927 ,0.032780,0.731977925390126,0.0,-8.0,28.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0
2010-01-21,-2.8299120234604125,0.032927 ,0.032817,-2.444606559956519,0.0,2.0,-34.0,0.0,0.0,-6.0,5.0,-20.0,0.0,0.0
2010-01-22,-0.07544892108042323,0.032927 ,0.032817,-2.8299120234604125,19.0,14.0,26.0,0.0,0.0,6.0,-5.0,9.0,0.0,0.0
