,coef,std err,t,p-value,LB,UB
const,275.75528587752365,132.4994403707436,2.081180758997466,0.037490858581568996,15.970120351496178,535.5404514035511
SELIC %d,-238879.10322990504,132157.9279361865,-1.8075276070100745,0.07076701836374757,-497994.6820460387,20236.475586228626
CDI %d,237500.60905218124,131765.74485993892,1.8024457669528127,0.07156244236044239,-20846.03560774462,495847.2537121071
^BVSP(-1),0.9973229739284952,0.0010846971557678788,919.448316634029,0.0,0.9951962613222509,0.9994496865347395
gt Ibovespa(-1),9.19141768485892,2.5938713414487236,3.543513333905508,0.0004000618041164054,4.105741142331694,14.277094227386144
gt Bolsa de Valores(-1),6.348872495576572,4.457876807253893,1.4241920021759318,0.15448123412419829,-2.3914683015367295,15.089213292689873
gt Ações(-1),-4.09471703573165,2.308709993528109,-1.7735952316272572,0.07621822043965706,-8.62129168496862,0.43185761350532026
gt Dividendos(-1),-2.145968858631818,7.010636295297961,-0.30610186696906827,0.7595455348493686,-15.891380200149438,11.599442482885802
gt Renda Fixa(-1),0.9636671590739709,8.092056182688447,0.11908804601920213,0.90521252666387,-14.90203120903631,16.82936552718425
gt Inflação(-1),-18.30276415601162,11.823024774286827,-1.5480610508249277,0.12169921274091387,-41.48358997242476,4.878061660401521
gt CDI(-1),-1.5991034360753247,11.768842955370651,-0.13587601110316302,0.8919272180325641,-24.673697612896213,21.475490740745563
gt Dolar(-1),3.4720552035492176,2.7499228478243976,1.262600951258009,0.20681786117959366,-1.9195838872042996,8.863694294302736
gt Bitcoin(-1),-3.559624783323187,7.655478331337407,-0.4649774487313222,0.6419769170486724,-18.569346333260654,11.450096766614282
gt Renda Variável(-1),87.7459570934825,208.7248362999557,0.4203905900655921,0.6742262924265332,-321.4906102146898,496.9825244016548
