,coef,std err,t,p-value,LB,UB
const,837.4028647814389,207.29189754049335,4.039727913715763,5.467758786850921e-05,430.97579034187027,1243.8299392210074
SELIC %d,-353173.7934346562,156498.24423298409,-2.2567268736183057,0.024087394325910436,-660012.2387053687,-46335.34816394374
CDI %d,351063.63689322444,155795.3216864812,2.2533644341368384,0.024298652095612598,45603.37744415976,656523.8963422892
^BVSP(-1),0.9898543047192496,0.001951604510282789,507.200254715449,0.0,0.9860278893070294,0.9936807201314698
gt Ibovespa(-1),8.304028705252932,2.5449871028911186,3.2628961835678902,0.0011135326861846182,3.314197095879895,13.29386031462597
gt Bolsa de Valores(-1),0.2435829559120748,4.321232311421874,0.05636886386974306,0.955051220921592,-8.228845668375326,8.716011580199476
gt Ações(-1),-4.546806570221634,1.6421760272868688,-2.7687693004103022,0.005656875271902754,-7.766540705534942,-1.3270724349083252
gt Dividendos(-1),13.48365803529731,7.160312943471206,1.8831101575793203,0.05976940143602682,-0.5552169820839037,27.522533052678526
gt Renda Fixa(-1),-1.4534617881100758,10.132077323243667,-0.14345150966976306,0.8859419728171166,-21.318929726513215,18.412006150293063
gt Inflação(-1),-12.279312481173804,11.726058858937513,-1.047181549136998,0.2950891256005227,-35.27002197483932,10.711397012491709
gt CDI(-1),18.690398669600825,14.07991976370089,1.3274506519409366,0.18444738338273606,-8.915410654359668,46.29620799356132
gt Dolar(-1),0.9702011068264511,1.5959404819689562,0.6079181008238396,0.5432817619094091,-2.158881258486988,4.09928347213989
gt Bitcoin(-1),2.6027379082674784,2.732532256576802,0.952500341762873,0.340909941651911,-2.754804301674989,7.960280118209946
gt Renda Variável(-1),188.60549668603198,316.4106794545658,0.5960781633892807,0.5511620704722285,-431.7654309670105,808.9764243390745
