,coef,std err,t,p-value,LB,UB
const,1115.8688420931198,191.97451222108913,5.812588500331855,6.711035407859174e-09,739.4735471632717,1492.264137022968
SELIC %d,-367806.52369140624,144162.9879327216,-2.551324226597296,0.010774267376949602,-650460.0370828779,-85153.01029993448
CDI %d,364275.9189388652,143514.96244838714,2.5382434885134098,0.011184698441653752,82892.95829148486,645658.8795862455
^BVSP(-1),0.9881649247450475,0.0018134516530431237,544.9083371408462,0.0,0.9846093763449448,0.9917204731451501
gt Ibovespa(-1),12.32999452491039,2.392635420139538,5.153311039837113,2.703081158118324e-07,7.638868061279294,17.021120988541487
gt Bolsa de Valores(-1),4.22043519066375,3.987090908093125,1.0585249466213513,0.2898903543772454,-3.5968643086338847,12.037734689961384
gt Ações(-1),-7.0805002187570025,1.5222561226424722,-4.651319914855076,3.4220848282847312e-06,-10.065115392988645,-4.09588504452536
gt Dividendos(-1),12.015954839295617,6.601374193810849,1.8202202278672879,0.06881215515024512,-0.927045551090405,24.95895522968164
gt Renda Fixa(-1),-1.0966301936242075,9.332308879323934,-0.11750899030504994,0.9064635663982316,-19.394044326205584,17.20078393895717
gt Inflação(-1),-7.037030818420703,10.803423744012203,-0.6513704345181293,0.5148508129799922,-28.21878989327404,14.144728256432632
gt CDI(-1),14.439600650365605,12.978558430994836,1.1125735363552836,0.2659692149737933,-11.006841545943434,39.88604284667464
gt Dolar(-1),0.10129293131607398,1.4718061921932988,0.06882219401803599,0.9451351435581693,-2.7844074639123115,2.9869933265444595
gt Bitcoin(-1),1.9462494718762677,2.5173673732245074,0.773128901477462,0.43949911003320885,-2.989432999348817,6.881931943101352
gt Renda Variável(-1),164.73122373442857,291.42659406087654,0.5652580344126645,0.5719350554532681,-406.6550376647797,736.1174851336368
dummy_1,-7571.574235808628,1090.3157996709397,-6.944386422808649,4.523488349232649e-12,-9709.304563838776,-5433.843907778481
dummy_2,-7820.414201149295,1089.3757275444018,-7.178803422376182,8.57294791347847e-13,-9956.301374475051,-5684.527027823538
dummy_3,-8540.07378012691,1092.794033676892,-7.814897882808139,7.249739328287631e-15,-10682.663063696433,-6397.484496557387
dummy_4,8831.241134554497,1103.326796030124,8.00419346863518,1.6284354616887322e-15,6668.000764825134,10994.48150428386
dummy_5,-12224.946401942201,1088.706883229276,-11.22886847714335,9.232473677168417e-29,-14359.522204032572,-10090.37059985183
dummy_6,-12557.212212956008,1097.919700857057,-11.437277428534719,9.307280318554187e-30,-14709.851148365608,-10404.57327754641
dummy_7,-13174.999044466113,1090.352189534597,-12.083250871527753,5.94724742742258e-33,-15312.800720371066,-11037.19736856116
