,coef,std err,t,p-value,LB,UB
const,-0.004641259776340105,0.07893930732471498,-0.05879529392433598,0.9531185679611779,-0.15941385229090468,0.15013133273822446
SELIC %d,-103.12275651711533,141.81443691013544,-0.7271668439685154,0.4671731797512124,-381.1716627013079,174.92614966707723
CDI %d,103.64465423087407,141.81231611696367,0.7308579188946484,0.46491565868370066,-174.4000938137489,381.68940227549706
^BVSP(-1),-0.06040755085189867,0.017125240795421798,-3.527398626012185,0.0004251433748237659,-0.09398420619852811,-0.026830895505269223
gt Ibovespa(-1),0.00846473907339311,0.0032587412323360505,2.597548706659689,0.009429153027189188,0.002075478184795888,0.01485399996199033
gt Bolsa de Valores(-1),0.011715656877442996,0.005733146200452905,2.043495223707619,0.041079379330030544,0.00047494637742436126,0.02295636737746163
gt Ações(-1),-0.0025304098804901113,0.0029646952154632547,-0.8535143401223848,0.39343349644694037,-0.008343148553573349,0.003282328792593125
gt Dividendos(-1),-0.006987658143413521,0.00899470861818987,-0.7768632025814023,0.43729283601103763,-0.024623160897748964,0.01064784461092192
gt Renda Fixa(-1),-0.0010438807915363196,0.010400292804258233,-0.1003703271804924,0.9200561684027645,-0.021435246446725512,0.019347484863652873
gt Inflação(-1),-0.022488961817332044,0.015172854377249577,-1.482183988469062,0.13838283573467858,-0.0522376648069976,0.007259741172333509
gt CDI(-1),-0.0027980968264781636,0.015106299012306562,-0.18522715750553156,0.8530617760364193,-0.03241630783784942,0.026820114184893093
gt Dolar(-1),0.0019703957352422852,0.0035363145124969768,0.5571890532584437,0.577434476330299,-0.004963090047634286,0.008903881518118856
gt Bitcoin(-1),-0.0038528227876599343,0.00982628810359191,-0.39209340770820367,0.6950134594051356,-0.023118764384182998,0.015413118808863131
gt Renda Variável(-1),0.14595236048546054,0.2677107356609902,0.5451868044256701,0.5856603494255768,-0.3789355059838232,0.6708402269547443
