,coef,std err,t,p-value,LB,UB
const,-0.010411710603894973,0.1437561754293308,-0.07242617976445313,0.942266956678202,-0.29226769230960237,0.27144427110181246
SELIC %d,-82.23393204673303,185.67743151868748,-0.44288598444155347,0.657876020709609,-446.2829517496881,281.8150876562221
CDI %d,82.80146420999004,184.98824805939003,0.44760391580878606,0.6544672276492673,-279.896305851581,445.49923427156114
^BVSP(-1),-0.07008769508651391,0.017065996633833395,-4.10686211829931,4.1039241733559295e-05,-0.10354819318789833,-0.03662719698512949
gt Ibovespa(-1),0.0011764677110128277,0.0028685639592416815,0.4101242739324636,0.6817402969019055,-0.0044477909227676506,0.006800726344793307
gt Bolsa de Valores(-1),0.006630359120040601,0.005419119572200231,1.223512238787636,0.22121998750060087,-0.003994654118113958,0.01725537235819516
gt Ações(-1),-0.0017719075677381135,0.001994876328145474,-0.8882292815541893,0.3744794596988348,-0.005683167895662774,0.0021393527601865467
gt Dividendos(-1),0.0020065706508345924,0.00861534594938383,0.23290656726072648,0.8158477990086309,-0.01488513353540812,0.018898274837077306
gt Renda Fixa(-1),0.0013305027869735453,0.012915476273057908,0.1030161612970492,0.9179561420604916,-0.023992264970777822,0.026653270544724914
gt Inflação(-1),-0.0280153644387115,0.015044228246119791,-1.8622001727431399,0.06265998200413339,-0.057511876213952214,0.0014811473365292163
gt CDI(-1),0.005480486378821741,0.017925014268346615,0.3057451613023042,0.7598171637229064,-0.0296642472550895,0.040625220012732985
gt Dolar(-1),0.0012810889428761059,0.0020613426698616057,0.6214827653871423,0.5343231638242798,-0.0027604888196828443,0.005322666705435056
gt Bitcoin(-1),0.00034195737938496056,0.003504774070237503,0.09756902229129641,0.922280201283169,-0.006529688539639317,0.007213603298409238
gt Renda Variável(-1),0.37573382552269446,0.40676127403375056,0.9237207411527538,0.35569644182235693,-0.4217839010740802,1.173251552119469
